ShipmentID,ProductID,Quantity,Date
SHP76,P1,31,2025-5-22
SHP71,P1,99,2025-3-9
SHP41,P1,8,2025-5-11
SHP61,P1,5,2025-5-31
SHP51,P1,2,2025-5-21
SHP10,P10,2,2025-4-10
SHP20,P10,4,2025-4-20
SHP30,P10,8,2025-4-30
SHP40,P10,3,2025-5-10
SHP50,P10,6,2025-5-20
SHP60,P10,8,2025-5-30
SHP70,P10,6,2025-6-9
SHP12,P2,5,2025-4-12
SHP22,P2,2,2025-4-22
SHP32,P2,7,2025-5-2
SHP42,P2,1,2025-5-12
SHP52,P2,8,2025-5-22
SHP62,P2,2,2025-6-1
SHP3,P3,8,2025-4-3
SHP13,P3,7,2025-4-13
SHP23,P3,9,2025-4-23
SHP33,P3,3,2025-5-3
SHP43,P3,6,2025-5-13
SHP53,P3,7,2025-5-23
SHP63,P3,9,2025-6-2
SHP9,P9,9,2025-4-9
SHP19,P9,7,2025-4-19
SHP29,P9,6,2025-4-29
SHP39,P9,5,2025-5-9
SHP49,P9,4,2025-5-19
SHP59,P9,7,2025-5-29
SHP69,P9,5,2025-6-8
SHP4,P4,2,2025-4-4
SHP14,P4,4,2025-4-14
SHP24,P4,5,2025-4-24
SHP34,P4,6,2025-5-4
SHP44,P4,2,2025-5-14
SHP54,P4,1,2025-5-24
SHP64,P4,6,2025-6-3
SHP5,P5,6,2025-4-5
SHP15,P5,8,2025-4-15
SHP25,P5,1,2025-4-25
SHP35,P5,9,2025-5-5
SHP45,P5,7,2025-5-15
SHP55,P5,5,2025-5-25
SHP65,P5,3,2025-6-4
SHP6,P6,7,2025-4-6
SHP16,P6,6,2025-4-16
SHP26,P6,3,2025-4-26
SHP36,P6,2,2025-5-6
SHP46,P6,5,2025-5-16
SHP56,P6,6,2025-5-26
SHP66,P6,4,2025-6-5
SHP74,P12,43,2025-3-29
SHP75,P12,323,2025-4-29
SHP72,P12,22,2025-4-27
SHP37,P7,4,2025-5-7
SHP47,P7,3,2025-5-17
SHP57,P7,4,2025-5-27
SHP67,P7,7,2025-6-6
SHP27,P7,7,2025-4-27
SHP7,P7,4,2025-4-7
SHP17,P7,5,2025-4-17
SHP8,P8,1,2025-4-8
SHP18,P8,3,2025-4-18
SHP28,P8,4,2025-4-28
SHP38,P8,7,2025-5-8
SHP48,P8,9,2025-5-18
SHP58,P8,3,2025-5-28
SHP68,P8,1,2025-6-7
